[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.009003s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000336s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006968s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000289s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: name PublicAction.class.php 第 259 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.003435s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.014310s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.000451s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.003463s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000278s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000911s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000987s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012411s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012556s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.000802s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.000665s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000730s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000992s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003516s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001006s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001155s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Run CheckRoute Behavior [ RunTime:0.000793s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000887s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000766s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000849s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.006854s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000298s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.004718s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000276s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/codys/Urlsz/9 | NOTIC: [8] Undefined index: Urlsz FckAction.class.php 第 794 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run CheckRoute Behavior [ RunTime:0.000737s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ route_check ] --END-- [ RunTime:0.000828s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000693s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000766s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.006767s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000315s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005175s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000316s ]
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:12:08+08:00 ] /ak911/index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.004027s ]
