[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007440s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000359s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006684s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000382s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: name PublicAction.class.php 第 259 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.067088s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: language PublicAction.class.php 第 805 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.017057s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.000515s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.004467s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000261s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: language PublicAction.class.php 第 826 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001159s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001264s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.031006s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031121s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.000655s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.000634s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000493s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000788s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002772s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000699s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000776s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001614s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001748s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001154s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001269s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.014196s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000504s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006626s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000293s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007333s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000926s ]
[ 2014-10-23T09:56:04+08:00 ] /ak911/index.php/Index/index | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000365s ]
