[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b1`=b1+3.24,b25=b25+2.16 where `id`=297 [ RunTime:0.004836s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','297',1,1412524800,3.24,1,0,1,0) [ RunTime:0.000557s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','297',25,1412524800,2.16,25,0,1,0) [ RunTime:0.001799s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `s14`,`s11` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.006493s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_fck` WHERE id in (0,1,0) and re_nums>0 and is_fenh=0 ORDER BY pdt desc LIMIT 0,11   [ RunTime:0.002031s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','1',17,1412524800,0.162,17,0,1,0) [ RunTime:0.001102s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b17`=b17+0.162 where `id`=1 [ RunTime:0.000434s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.013066s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `str7` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000395s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b10`=b10-0.0162 where `id`=1 [ RunTime:0.000516s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
